Delivery_ID,Order_ID,Courier_Partner,Delivery_Days,Delivery_Status
11838,ORD111838,Ekart,2,Delivered
11839,ORD111839,XpressBees,3,In Transit
11840,ORD111840,Delhivery,4,Delivered
11841,ORD111841,Blue Dart,5,Delivered
11842,ORD111842,DTDC,6,Delivered
11843,ORD111843,Ekart,7,Delivered
11844,ORD111844,XpressBees,2,In Transit
11845,ORD111845,Delhivery,3,Delivered
11846,ORD111846,Blue Dart,4,Delivered
11847,ORD111847,DTDC,5,Delivered
11848,ORD111848,Ekart,6,Delivered
11849,ORD111849,XpressBees,7,In Transit
11850,ORD111850,Delhivery,2,Delivered
11851,ORD111851,Blue Dart,3,Delivered
11852,ORD111852,DTDC,4,Delivered
11853,ORD111853,Ekart,5,Delivered
11854,ORD111854,XpressBees,6,In Transit
11855,ORD111855,Delhivery,7,Delivered
11856,ORD111856,Blue Dart,2,Delivered
11857,ORD111857,DTDC,3,Delivered
11858,ORD111858,Ekart,4,Delivered
11859,ORD111859,XpressBees,5,In Transit
11860,ORD111860,Delhivery,6,Delivered
11861,ORD111861,Blue Dart,7,Delivered
11862,ORD111862,DTDC,2,Delivered
11863,ORD111863,Ekart,3,Delivered
11864,ORD111864,XpressBees,4,In Transit
11865,ORD111865,Delhivery,5,Delivered
11866,ORD111866,Blue Dart,6,Delivered
11867,ORD111867,DTDC,7,Delivered
11868,ORD111868,Ekart,2,Delivered
11869,ORD111869,XpressBees,3,In Transit
11870,ORD111870,Delhivery,4,Delivered
11871,ORD111871,Blue Dart,5,Delivered
11872,ORD111872,DTDC,6,Delivered
11873,ORD111873,Ekart,7,Delivered
11874,ORD111874,XpressBees,2,In Transit
11875,ORD111875,Delhivery,3,Delivered
11876,ORD111876,Blue Dart,4,Delivered
11877,ORD111877,DTDC,5,Delivered
11878,ORD111878,Ekart,6,Delivered
11879,ORD111879,XpressBees,7,In Transit
11880,ORD111880,Delhivery,2,Delivered
11881,ORD111881,Blue Dart,3,Delivered
11882,ORD111882,DTDC,4,Delivered
11883,ORD111883,Ekart,5,Delivered
11884,ORD111884,XpressBees,6,In Transit
11885,ORD111885,Delhivery,7,Delivered
11886,ORD111886,Blue Dart,2,Delivered
11887,ORD111887,DTDC,3,Delivered
11888,ORD111888,Ekart,4,Delivered
11889,ORD111889,XpressBees,5,In Transit
11890,ORD111890,Delhivery,6,Delivered
11891,ORD111891,Blue Dart,7,Delivered
11892,ORD111892,DTDC,2,Delivered
11893,ORD111893,Ekart,3,Delivered
11894,ORD111894,XpressBees,4,In Transit
11895,ORD111895,Delhivery,5,Delivered
11896,ORD111896,Blue Dart,6,Delivered
11897,ORD111897,DTDC,7,Delivered
11898,ORD111898,Ekart,2,Delivered
11899,ORD111899,XpressBees,3,In Transit
11900,ORD111900,Delhivery,4,Delivered
11901,ORD111901,Blue Dart,5,Delivered
11902,ORD111902,DTDC,6,Delivered
11903,ORD111903,Ekart,7,Delivered
11904,ORD111904,XpressBees,2,In Transit
11905,ORD111905,Delhivery,3,Delivered
11906,ORD111906,Blue Dart,4,Delivered
11907,ORD111907,DTDC,5,Delivered
11908,ORD111908,Ekart,6,Delivered
11909,ORD111909,XpressBees,7,In Transit
11910,ORD111910,Delhivery,2,Delivered
11911,ORD111911,Blue Dart,3,Delivered
11912,ORD111912,DTDC,4,Delivered
11913,ORD111913,Ekart,5,Delivered
11914,ORD111914,XpressBees,6,In Transit
11915,ORD111915,Delhivery,7,Delivered
11916,ORD111916,Blue Dart,2,Delivered
11917,ORD111917,DTDC,3,Delivered
11918,ORD111918,Ekart,4,Delivered
11919,ORD111919,XpressBees,5,In Transit
11920,ORD111920,Delhivery,6,Delivered
11921,ORD111921,Blue Dart,7,Delivered
11922,ORD111922,DTDC,2,Delivered
11923,ORD111923,Ekart,3,Delivered
11924,ORD111924,XpressBees,4,In Transit
11925,ORD111925,Delhivery,5,Delivered
11926,ORD111926,Blue Dart,6,Delivered
11927,ORD111927,DTDC,7,Delivered
11928,ORD111928,Ekart,2,Delivered
11929,ORD111929,XpressBees,3,In Transit
11930,ORD111930,Delhivery,4,Delivered
11931,ORD111931,Blue Dart,5,Delivered
11932,ORD111932,DTDC,6,Delivered
11933,ORD111933,Ekart,7,Delivered
11934,ORD111934,XpressBees,2,In Transit
11935,ORD111935,Delhivery,3,Delivered
11936,ORD111936,Blue Dart,4,Delivered
11937,ORD111937,DTDC,5,Delivered
11938,ORD111938,Ekart,6,Delivered
11939,ORD111939,XpressBees,7,In Transit
11940,ORD111940,Delhivery,2,Delivered
11941,ORD111941,Blue Dart,3,Delivered
11942,ORD111942,DTDC,4,Delivered
11943,ORD111943,Ekart,5,Delivered
11944,ORD111944,XpressBees,6,In Transit
11945,ORD111945,Delhivery,7,Delivered
11946,ORD111946,Blue Dart,2,Delivered
11947,ORD111947,DTDC,3,Delivered
11948,ORD111948,Ekart,4,Delivered
11949,ORD111949,XpressBees,5,In Transit
11950,ORD111950,Delhivery,6,Delivered
11951,ORD111951,Blue Dart,7,Delivered
11952,ORD111952,DTDC,2,Delivered
11953,ORD111953,Ekart,3,Delivered
11954,ORD111954,XpressBees,4,In Transit
11955,ORD111955,Delhivery,5,Delivered
11956,ORD111956,Blue Dart,6,Delivered
11957,ORD111957,DTDC,7,Delivered
11958,ORD111958,Ekart,2,Delivered
11959,ORD111959,XpressBees,3,In Transit
11960,ORD111960,Delhivery,4,Delivered
11961,ORD111961,Blue Dart,5,Delivered
11962,ORD111962,DTDC,6,Delivered
11963,ORD111963,Ekart,7,Delivered
11964,ORD111964,XpressBees,2,In Transit
11965,ORD111965,Delhivery,3,Delivered
11966,ORD111966,Blue Dart,4,Delivered
11967,ORD111967,DTDC,5,Delivered
11968,ORD111968,Ekart,6,Delivered
11969,ORD111969,XpressBees,7,In Transit
11970,ORD111970,Delhivery,2,Delivered
11971,ORD111971,Blue Dart,3,Delivered
11972,ORD111972,DTDC,4,Delivered
11973,ORD111973,Ekart,5,Delivered
11974,ORD111974,XpressBees,6,In Transit
11975,ORD111975,Delhivery,7,Delivered
11976,ORD111976,Blue Dart,2,Delivered
11977,ORD111977,DTDC,3,Delivered
11978,ORD111978,Ekart,4,Delivered
11979,ORD111979,XpressBees,5,In Transit
11980,ORD111980,Delhivery,6,Delivered
11981,ORD111981,Blue Dart,7,Delivered
11982,ORD111982,DTDC,2,Delivered
11983,ORD111983,Ekart,3,Delivered
11984,ORD111984,XpressBees,4,In Transit
11985,ORD111985,Delhivery,5,Delivered
11986,ORD111986,Blue Dart,6,Delivered
11987,ORD111987,DTDC,7,Delivered
11988,ORD111988,Ekart,2,Delivered
11989,ORD111989,XpressBees,3,In Transit
11990,ORD111990,Delhivery,4,Delivered
11991,ORD111991,Blue Dart,5,Delivered
11992,ORD111992,DTDC,6,Delivered
11993,ORD111993,Ekart,7,Delivered
11994,ORD111994,XpressBees,2,In Transit
11995,ORD111995,Delhivery,3,Delivered
11996,ORD111996,Blue Dart,4,Delivered
11997,ORD111997,DTDC,5,Delivered
11998,ORD111998,Ekart,6,Delivered
11999,ORD111999,XpressBees,7,In Transit
12000,ORD112000,Delhivery,2,Delivered
12001,ORD112001,Blue Dart,3,Delivered
12002,ORD112002,DTDC,4,Delivered
12003,ORD112003,Ekart,5,Delivered
12004,ORD112004,XpressBees,6,In Transit
12005,ORD112005,Delhivery,7,Delivered
12006,ORD112006,Blue Dart,2,Delivered
12007,ORD112007,DTDC,3,Delivered
12008,ORD112008,Ekart,4,Delivered
12009,ORD112009,XpressBees,5,In Transit
12010,ORD112010,Delhivery,6,Delivered
12011,ORD112011,Blue Dart,7,Delivered
12012,ORD112012,DTDC,2,Delivered
12013,ORD112013,Ekart,3,Delivered
12014,ORD112014,XpressBees,4,In Transit
12015,ORD112015,Delhivery,5,Delivered
12016,ORD112016,Blue Dart,6,Delivered
12017,ORD112017,DTDC,7,Delivered
12018,ORD112018,Ekart,2,Delivered
12019,ORD112019,XpressBees,3,In Transit
12020,ORD112020,Delhivery,4,Delivered
12021,ORD112021,Blue Dart,5,Delivered
12022,ORD112022,DTDC,6,Delivered
12023,ORD112023,Ekart,7,Delivered
12024,ORD112024,XpressBees,2,In Transit
12025,ORD112025,Delhivery,3,Delivered
12026,ORD112026,Blue Dart,4,Delivered
12027,ORD112027,DTDC,5,Delivered
12028,ORD112028,Ekart,6,Delivered
12029,ORD112029,XpressBees,7,In Transit
12030,ORD112030,Delhivery,2,Delivered
12031,ORD112031,Blue Dart,3,Delivered
12032,ORD112032,DTDC,4,Delivered
12033,ORD112033,Ekart,5,Delivered
12034,ORD112034,XpressBees,6,In Transit
12035,ORD112035,Delhivery,7,Delivered
12036,ORD112036,Blue Dart,2,Delivered
12037,ORD112037,DTDC,3,Delivered
12038,ORD112038,Ekart,4,Delivered
12039,ORD112039,XpressBees,5,In Transit
12040,ORD112040,Delhivery,6,Delivered
12041,ORD112041,Blue Dart,7,Delivered
12042,ORD112042,DTDC,2,Delivered
12043,ORD112043,Ekart,3,Delivered
12044,ORD112044,XpressBees,4,In Transit
12045,ORD112045,Delhivery,5,Delivered
12046,ORD112046,Blue Dart,6,Delivered
12047,ORD112047,DTDC,7,Delivered
12048,ORD112048,Ekart,2,Delivered
12049,ORD112049,XpressBees,3,In Transit
12050,ORD112050,Delhivery,4,Delivered
12051,ORD112051,Blue Dart,5,Delivered
12052,ORD112052,DTDC,6,Delivered
12053,ORD112053,Ekart,7,Delivered
12054,ORD112054,XpressBees,2,In Transit
12055,ORD112055,Delhivery,3,Delivered
12056,ORD112056,Blue Dart,4,Delivered
12057,ORD112057,DTDC,5,Delivered
12058,ORD112058,Ekart,6,Delivered
12059,ORD112059,XpressBees,7,In Transit
12060,ORD112060,Delhivery,2,Delivered
12061,ORD112061,Blue Dart,3,Delivered
12062,ORD112062,DTDC,4,Delivered
12063,ORD112063,Ekart,5,Delivered
12064,ORD112064,XpressBees,6,In Transit
12065,ORD112065,Delhivery,7,Delivered
12066,ORD112066,Blue Dart,2,Delivered
12067,ORD112067,DTDC,3,Delivered
12068,ORD112068,Ekart,4,Delivered
12069,ORD112069,XpressBees,5,In Transit
12070,ORD112070,Delhivery,6,Delivered
12071,ORD112071,Blue Dart,7,Delivered
12072,ORD112072,DTDC,2,Delivered
12073,ORD112073,Ekart,3,Delivered
12074,ORD112074,XpressBees,4,In Transit
12075,ORD112075,Delhivery,5,Delivered
12076,ORD112076,Blue Dart,6,Delivered
12077,ORD112077,DTDC,7,Delivered
12078,ORD112078,Ekart,2,Delivered
12079,ORD112079,XpressBees,3,In Transit
12080,ORD112080,Delhivery,4,Delivered
12081,ORD112081,Blue Dart,5,Delivered
12082,ORD112082,DTDC,6,Delivered
12083,ORD112083,Ekart,7,Delivered
12084,ORD112084,XpressBees,2,In Transit
12085,ORD112085,Delhivery,3,Delivered
12086,ORD112086,Blue Dart,4,Delivered
12087,ORD112087,DTDC,5,Delivered
12088,ORD112088,Ekart,6,Delivered
12089,ORD112089,XpressBees,7,In Transit
12090,ORD112090,Delhivery,2,Delivered
12091,ORD112091,Blue Dart,3,Delivered
12092,ORD112092,DTDC,4,Delivered
12093,ORD112093,Ekart,5,Delivered
12094,ORD112094,XpressBees,6,In Transit
12095,ORD112095,Delhivery,7,Delivered
12096,ORD112096,Blue Dart,2,Delivered
12097,ORD112097,DTDC,3,Delivered
12098,ORD112098,Ekart,4,Delivered
12099,ORD112099,XpressBees,5,In Transit
12100,ORD112100,Delhivery,6,Delivered
12101,ORD112101,Blue Dart,7,Delivered
12102,ORD112102,DTDC,2,Delivered
12103,ORD112103,Ekart,3,Delivered
12104,ORD112104,XpressBees,4,In Transit
12105,ORD112105,Delhivery,5,Delivered
12106,ORD112106,Blue Dart,6,Delivered
12107,ORD112107,DTDC,7,Delivered
12108,ORD112108,Ekart,2,Delivered
12109,ORD112109,XpressBees,3,In Transit
12110,ORD112110,Delhivery,4,Delivered
12111,ORD112111,Blue Dart,5,Delivered
12112,ORD112112,DTDC,6,Delivered
12113,ORD112113,Ekart,7,Delivered
12114,ORD112114,XpressBees,2,In Transit
12115,ORD112115,Delhivery,3,Delivered
12116,ORD112116,Blue Dart,4,Delivered
12117,ORD112117,DTDC,5,Delivered
12118,ORD112118,Ekart,6,Delivered
12119,ORD112119,XpressBees,7,In Transit
12120,ORD112120,Delhivery,2,Delivered
12121,ORD112121,Blue Dart,3,Delivered
12122,ORD112122,DTDC,4,Delivered
12123,ORD112123,Ekart,5,Delivered
12124,ORD112124,XpressBees,6,In Transit
12125,ORD112125,Delhivery,7,Delivered
12126,ORD112126,Blue Dart,2,Delivered
12127,ORD112127,DTDC,3,Delivered
12128,ORD112128,Ekart,4,Delivered
12129,ORD112129,XpressBees,5,In Transit
12130,ORD112130,Delhivery,6,Delivered
12131,ORD112131,Blue Dart,7,Delivered
12132,ORD112132,DTDC,2,Delivered
12133,ORD112133,Ekart,3,Delivered
12134,ORD112134,XpressBees,4,In Transit
12135,ORD112135,Delhivery,5,Delivered
12136,ORD112136,Blue Dart,6,Delivered
12137,ORD112137,DTDC,7,Delivered
12138,ORD112138,Ekart,2,Delivered
12139,ORD112139,XpressBees,3,In Transit
12140,ORD112140,Delhivery,4,Delivered
12141,ORD112141,Blue Dart,5,Delivered
12142,ORD112142,DTDC,6,Delivered
12143,ORD112143,Ekart,7,Delivered
12144,ORD112144,XpressBees,2,In Transit
12145,ORD112145,Delhivery,3,Delivered
12146,ORD112146,Blue Dart,4,Delivered
12147,ORD112147,DTDC,5,Delivered
12148,ORD112148,Ekart,6,Delivered
12149,ORD112149,XpressBees,7,In Transit
12150,ORD112150,Delhivery,2,Delivered
12151,ORD112151,Blue Dart,3,Delivered
12152,ORD112152,DTDC,4,Delivered
12153,ORD112153,Ekart,5,Delivered
12154,ORD112154,XpressBees,6,In Transit
12155,ORD112155,Delhivery,7,Delivered
12156,ORD112156,Blue Dart,2,Delivered
12157,ORD112157,DTDC,3,Delivered
12158,ORD112158,Ekart,4,Delivered
12159,ORD112159,XpressBees,5,In Transit
12160,ORD112160,Delhivery,6,Delivered
12161,ORD112161,Blue Dart,7,Delivered
12162,ORD112162,DTDC,2,Delivered
12163,ORD112163,Ekart,3,Delivered
12164,ORD112164,XpressBees,4,In Transit
12165,ORD112165,Delhivery,5,Delivered
12166,ORD112166,Blue Dart,6,Delivered
12167,ORD112167,DTDC,7,Delivered
12168,ORD112168,Ekart,2,Delivered
12169,ORD112169,XpressBees,3,In Transit
12170,ORD112170,Delhivery,4,Delivered
12171,ORD112171,Blue Dart,5,Delivered
12172,ORD112172,DTDC,6,Delivered
12173,ORD112173,Ekart,7,Delivered
12174,ORD112174,XpressBees,2,In Transit
12175,ORD112175,Delhivery,3,Delivered
12176,ORD112176,Blue Dart,4,Delivered
12177,ORD112177,DTDC,5,Delivered
12178,ORD112178,Ekart,6,Delivered
12179,ORD112179,XpressBees,7,In Transit
12180,ORD112180,Delhivery,2,Delivered
12181,ORD112181,Blue Dart,3,Delivered
12182,ORD112182,DTDC,4,Delivered
12183,ORD112183,Ekart,5,Delivered
12184,ORD112184,XpressBees,6,In Transit
12185,ORD112185,Delhivery,7,Delivered
12186,ORD112186,Blue Dart,2,Delivered
12187,ORD112187,DTDC,3,Delivered
12188,ORD112188,Ekart,4,Delivered
12189,ORD112189,XpressBees,5,In Transit
12190,ORD112190,Delhivery,6,Delivered
12191,ORD112191,Blue Dart,7,Delivered
12192,ORD112192,DTDC,2,Delivered
12193,ORD112193,Ekart,3,Delivered
12194,ORD112194,XpressBees,4,In Transit
12195,ORD112195,Delhivery,5,Delivered
12196,ORD112196,Blue Dart,6,Delivered
12197,ORD112197,DTDC,7,Delivered
12198,ORD112198,Ekart,2,Delivered
12199,ORD112199,XpressBees,3,In Transit
12200,ORD112200,Delhivery,4,Delivered
12201,ORD112201,Blue Dart,5,Delivered
12202,ORD112202,DTDC,6,Delivered
12203,ORD112203,Ekart,7,Delivered
12204,ORD112204,XpressBees,2,In Transit
12205,ORD112205,Delhivery,3,Delivered
12206,ORD112206,Blue Dart,4,Delivered
12207,ORD112207,DTDC,5,Delivered
12208,ORD112208,Ekart,6,Delivered
12209,ORD112209,XpressBees,7,In Transit
12210,ORD112210,Delhivery,2,Delivered
12211,ORD112211,Blue Dart,3,Delivered
12212,ORD112212,DTDC,4,Delivered
12213,ORD112213,Ekart,5,Delivered
12214,ORD112214,XpressBees,6,In Transit
12215,ORD112215,Delhivery,7,Delivered
12216,ORD112216,Blue Dart,2,Delivered
12217,ORD112217,DTDC,3,Delivered
12218,ORD112218,Ekart,4,Delivered
12219,ORD112219,XpressBees,5,In Transit
12220,ORD112220,Delhivery,6,Delivered
12221,ORD112221,Blue Dart,7,Delivered
12222,ORD112222,DTDC,2,Delivered
12223,ORD112223,Ekart,3,Delivered
12224,ORD112224,XpressBees,4,In Transit
12225,ORD112225,Delhivery,5,Delivered
12226,ORD112226,Blue Dart,6,Delivered
12227,ORD112227,DTDC,7,Delivered
12228,ORD112228,Ekart,2,Delivered
12229,ORD112229,XpressBees,3,In Transit
12230,ORD112230,Delhivery,4,Delivered
12231,ORD112231,Blue Dart,5,Delivered
12232,ORD112232,DTDC,6,Delivered
12233,ORD112233,Ekart,7,Delivered
12234,ORD112234,XpressBees,2,In Transit
12235,ORD112235,Delhivery,3,Delivered
12236,ORD112236,Blue Dart,4,Delivered
12237,ORD112237,DTDC,5,Delivered
12238,ORD112238,Ekart,6,Delivered
12239,ORD112239,XpressBees,7,In Transit
12240,ORD112240,Delhivery,2,Delivered
12241,ORD112241,Blue Dart,3,Delivered
12242,ORD112242,DTDC,4,Delivered
12243,ORD112243,Ekart,5,Delivered
12244,ORD112244,XpressBees,6,In Transit
12245,ORD112245,Delhivery,7,Delivered
12246,ORD112246,Blue Dart,2,Delivered
12247,ORD112247,DTDC,3,Delivered
12248,ORD112248,Ekart,4,Delivered
12249,ORD112249,XpressBees,5,In Transit
12250,ORD112250,Delhivery,6,Delivered
12251,ORD112251,Blue Dart,7,Delivered
12252,ORD112252,DTDC,2,Delivered
12253,ORD112253,Ekart,3,Delivered
12254,ORD112254,XpressBees,4,In Transit
12255,ORD112255,Delhivery,5,Delivered
12256,ORD112256,Blue Dart,6,Delivered
12257,ORD112257,DTDC,7,Delivered
12258,ORD112258,Ekart,2,Delivered
12259,ORD112259,XpressBees,3,In Transit
12260,ORD112260,Delhivery,4,Delivered
12261,ORD112261,Blue Dart,5,Delivered
12262,ORD112262,DTDC,6,Delivered
12263,ORD112263,Ekart,7,Delivered
12264,ORD112264,XpressBees,2,In Transit
12265,ORD112265,Delhivery,3,Delivered
12266,ORD112266,Blue Dart,4,Delivered
12267,ORD112267,DTDC,5,Delivered
12268,ORD112268,Ekart,6,Delivered
12269,ORD112269,XpressBees,7,In Transit
12270,ORD112270,Delhivery,2,Delivered
12271,ORD112271,Blue Dart,3,Delivered
12272,ORD112272,DTDC,4,Delivered
12273,ORD112273,Ekart,5,Delivered
12274,ORD112274,XpressBees,6,In Transit
12275,ORD112275,Delhivery,7,Delivered
12276,ORD112276,Blue Dart,2,Delivered
12277,ORD112277,DTDC,3,Delivered
12278,ORD112278,Ekart,4,Delivered
12279,ORD112279,XpressBees,5,In Transit
12280,ORD112280,Delhivery,6,Delivered
12281,ORD112281,Blue Dart,7,Delivered
12282,ORD112282,DTDC,2,Delivered
12283,ORD112283,Ekart,3,Delivered
12284,ORD112284,XpressBees,4,In Transit
12285,ORD112285,Delhivery,5,Delivered
12286,ORD112286,Blue Dart,6,Delivered
12287,ORD112287,DTDC,7,Delivered
12288,ORD112288,Ekart,2,Delivered
12289,ORD112289,XpressBees,3,In Transit
12290,ORD112290,Delhivery,4,Delivered
12291,ORD112291,Blue Dart,5,Delivered
12292,ORD112292,DTDC,6,Delivered
12293,ORD112293,Ekart,7,Delivered
12294,ORD112294,XpressBees,2,In Transit
12295,ORD112295,Delhivery,3,Delivered
12296,ORD112296,Blue Dart,4,Delivered
12297,ORD112297,DTDC,5,Delivered
12298,ORD112298,Ekart,6,Delivered
12299,ORD112299,XpressBees,7,In Transit
12300,ORD112300,Delhivery,2,Delivered
12301,ORD112301,Blue Dart,3,Delivered
12302,ORD112302,DTDC,4,Delivered
12303,ORD112303,Ekart,5,Delivered
12304,ORD112304,XpressBees,6,In Transit
12305,ORD112305,Delhivery,7,Delivered
12306,ORD112306,Blue Dart,2,Delivered
12307,ORD112307,DTDC,3,Delivered
12308,ORD112308,Ekart,4,Delivered
12309,ORD112309,XpressBees,5,In Transit
12310,ORD112310,Delhivery,6,Delivered
12311,ORD112311,Blue Dart,7,Delivered
12312,ORD112312,DTDC,2,Delivered
12313,ORD112313,Ekart,3,Delivered
12314,ORD112314,XpressBees,4,In Transit
12315,ORD112315,Delhivery,5,Delivered
12316,ORD112316,Blue Dart,6,Delivered
12317,ORD112317,DTDC,7,Delivered
12318,ORD112318,Ekart,2,Delivered
12319,ORD112319,XpressBees,3,In Transit
12320,ORD112320,Delhivery,4,Delivered
12321,ORD112321,Blue Dart,5,Delivered
12322,ORD112322,DTDC,6,Delivered
12323,ORD112323,Ekart,7,Delivered
12324,ORD112324,XpressBees,2,In Transit
12325,ORD112325,Delhivery,3,Delivered
12326,ORD112326,Blue Dart,4,Delivered
12327,ORD112327,DTDC,5,Delivered
12328,ORD112328,Ekart,6,Delivered
12329,ORD112329,XpressBees,7,In Transit
12330,ORD112330,Delhivery,2,Delivered
12331,ORD112331,Blue Dart,3,Delivered
12332,ORD112332,DTDC,4,Delivered
12333,ORD112333,Ekart,5,Delivered
12334,ORD112334,XpressBees,6,In Transit
12335,ORD112335,Delhivery,7,Delivered
12336,ORD112336,Blue Dart,2,Delivered
12337,ORD112337,DTDC,3,Delivered
12338,ORD112338,Ekart,4,Delivered
12339,ORD112339,XpressBees,5,In Transit
12340,ORD112340,Delhivery,6,Delivered
12341,ORD112341,Blue Dart,7,Delivered
12342,ORD112342,DTDC,2,Delivered
12343,ORD112343,Ekart,3,Delivered
12344,ORD112344,XpressBees,4,In Transit
12345,ORD112345,Delhivery,5,Delivered
12346,ORD112346,Blue Dart,6,Delivered
12347,ORD112347,DTDC,7,Delivered
12348,ORD112348,Ekart,2,Delivered
12349,ORD112349,XpressBees,3,In Transit
12350,ORD112350,Delhivery,4,Delivered
12351,ORD112351,Blue Dart,5,Delivered
12352,ORD112352,DTDC,6,Delivered
12353,ORD112353,Ekart,7,Delivered
12354,ORD112354,XpressBees,2,In Transit
12355,ORD112355,Delhivery,3,Delivered
12356,ORD112356,Blue Dart,4,Delivered
12357,ORD112357,DTDC,5,Delivered
12358,ORD112358,Ekart,6,Delivered
12359,ORD112359,XpressBees,7,In Transit
12360,ORD112360,Delhivery,2,Delivered
12361,ORD112361,Blue Dart,3,Delivered
12362,ORD112362,DTDC,4,Delivered
12363,ORD112363,Ekart,5,Delivered
12364,ORD112364,XpressBees,6,In Transit
12365,ORD112365,Delhivery,7,Delivered
12366,ORD112366,Blue Dart,2,Delivered
12367,ORD112367,DTDC,3,Delivered
12368,ORD112368,Ekart,4,Delivered
12369,ORD112369,XpressBees,5,In Transit
12370,ORD112370,Delhivery,6,Delivered
12371,ORD112371,Blue Dart,7,Delivered
12372,ORD112372,DTDC,2,Delivered
12373,ORD112373,Ekart,3,Delivered
12374,ORD112374,XpressBees,4,In Transit
12375,ORD112375,Delhivery,5,Delivered
12376,ORD112376,Blue Dart,6,Delivered
12377,ORD112377,DTDC,7,Delivered
12378,ORD112378,Ekart,2,Delivered
12379,ORD112379,XpressBees,3,In Transit
12380,ORD112380,Delhivery,4,Delivered
12381,ORD112381,Blue Dart,5,Delivered
12382,ORD112382,DTDC,6,Delivered
12383,ORD112383,Ekart,7,Delivered
12384,ORD112384,XpressBees,2,In Transit
12385,ORD112385,Delhivery,3,Delivered
12386,ORD112386,Blue Dart,4,Delivered
12387,ORD112387,DTDC,5,Delivered
12388,ORD112388,Ekart,6,Delivered
12389,ORD112389,XpressBees,7,In Transit
12390,ORD112390,Delhivery,2,Delivered
12391,ORD112391,Blue Dart,3,Delivered
12392,ORD112392,DTDC,4,Delivered
12393,ORD112393,Ekart,5,Delivered
12394,ORD112394,XpressBees,6,In Transit
12395,ORD112395,Delhivery,7,Delivered
12396,ORD112396,Blue Dart,2,Delivered
12397,ORD112397,DTDC,3,Delivered
12398,ORD112398,Ekart,4,Delivered
12399,ORD112399,XpressBees,5,In Transit
12400,ORD112400,Delhivery,6,Delivered
12401,ORD112401,Blue Dart,7,Delivered
12402,ORD112402,DTDC,2,Delivered
12403,ORD112403,Ekart,3,Delivered
12404,ORD112404,XpressBees,4,In Transit
12405,ORD112405,Delhivery,5,Delivered
12406,ORD112406,Blue Dart,6,Delivered
12407,ORD112407,DTDC,7,Delivered
12408,ORD112408,Ekart,2,Delivered
12409,ORD112409,XpressBees,3,In Transit
12410,ORD112410,Delhivery,4,Delivered
12411,ORD112411,Blue Dart,5,Delivered
12412,ORD112412,DTDC,6,Delivered
12413,ORD112413,Ekart,7,Delivered
12414,ORD112414,XpressBees,2,In Transit
12415,ORD112415,Delhivery,3,Delivered
12416,ORD112416,Blue Dart,4,Delivered
12417,ORD112417,DTDC,5,Delivered
12418,ORD112418,Ekart,6,Delivered
12419,ORD112419,XpressBees,7,In Transit
12420,ORD112420,Delhivery,2,Delivered
12421,ORD112421,Blue Dart,3,Delivered
12422,ORD112422,DTDC,4,Delivered
12423,ORD112423,Ekart,5,Delivered
12424,ORD112424,XpressBees,6,In Transit
12425,ORD112425,Delhivery,7,Delivered
12426,ORD112426,Blue Dart,2,Delivered
12427,ORD112427,DTDC,3,Delivered
12428,ORD112428,Ekart,4,Delivered
12429,ORD112429,XpressBees,5,In Transit
12430,ORD112430,Delhivery,6,Delivered
12431,ORD112431,Blue Dart,7,Delivered
12432,ORD112432,DTDC,2,Delivered
12433,ORD112433,Ekart,3,Delivered
12434,ORD112434,XpressBees,4,In Transit
12435,ORD112435,Delhivery,5,Delivered
12436,ORD112436,Blue Dart,6,Delivered
12437,ORD112437,DTDC,7,Delivered
12438,ORD112438,Ekart,2,Delivered
12439,ORD112439,XpressBees,3,In Transit
12440,ORD112440,Delhivery,4,Delivered
12441,ORD112441,Blue Dart,5,Delivered
12442,ORD112442,DTDC,6,Delivered
12443,ORD112443,Ekart,7,Delivered
12444,ORD112444,XpressBees,2,In Transit
12445,ORD112445,Delhivery,3,Delivered
12446,ORD112446,Blue Dart,4,Delivered
12447,ORD112447,DTDC,5,Delivered
12448,ORD112448,Ekart,6,Delivered
12449,ORD112449,XpressBees,7,In Transit
12450,ORD112450,Delhivery,2,Delivered
12451,ORD112451,Blue Dart,3,Delivered
12452,ORD112452,DTDC,4,Delivered
12453,ORD112453,Ekart,5,Delivered
12454,ORD112454,XpressBees,6,In Transit
12455,ORD112455,Delhivery,7,Delivered
12456,ORD112456,Blue Dart,2,Delivered
12457,ORD112457,DTDC,3,Delivered
12458,ORD112458,Ekart,4,Delivered
12459,ORD112459,XpressBees,5,In Transit
12460,ORD112460,Delhivery,6,Delivered
12461,ORD112461,Blue Dart,7,Delivered
12462,ORD112462,DTDC,2,Delivered
12463,ORD112463,Ekart,3,Delivered
12464,ORD112464,XpressBees,4,In Transit
12465,ORD112465,Delhivery,5,Delivered
12466,ORD112466,Blue Dart,6,Delivered
12467,ORD112467,DTDC,7,Delivered
12468,ORD112468,Ekart,2,Delivered
12469,ORD112469,XpressBees,3,In Transit
12470,ORD112470,Delhivery,4,Delivered
12471,ORD112471,Blue Dart,5,Delivered
12472,ORD112472,DTDC,6,Delivered
12473,ORD112473,Ekart,7,Delivered
12474,ORD112474,XpressBees,2,In Transit
12475,ORD112475,Delhivery,3,Delivered
12476,ORD112476,Blue Dart,4,Delivered
12477,ORD112477,DTDC,5,Delivered
